width,x,y
35,467,373
34,467,372
34,467,371
33,467,371
33,467,372
33,467,372
33,467,372
32,467,371
32,467,371
32,467,371
32,467,371
32,467,371
31,467,370
31,466,371
31,466,370
31,465,369
31,465,368
31,464,365
31,463,363
30,462,359
29,460,355
28,459,352
28,458,349
27,457,346
27,456,344
27,455,342
27,455,341
27,454,339
27,453,338
27,453,337
27,452,334
27,451,332
26,450,330
26,450,327
26,449,325
26,449,324
27,448,322
27,448,322
27,447,320
27,447,319
27,447,318
28,446,318
27,446,316
27,445,315
27,445,314
28,445,313
28,444,312
28,443,311
28,442,309
28,441,307
28,440,305
27,441,303
27,440,300
27,439,298
27,439,295
26,439,293
27,438,291
26,438,288
26,437,285
25,437,281
25,437,279
25,437,278
24,437,278
25,437,279
25,436,278
26,436,278
27,436,278
26,436,278
27,436,278
26,436,278
26,436,278
26,436,278
26,437,279
25,437,279
25,437,279
26,437,279
26,437,279
26,437,279
25,437,279
25,437,279
25,437,280
25,437,282
24,437,284
24,438,286
24,438,288
24,438,290
25,439,293
25,439,296
24,441,300
24,443,302
23,444,306
23,445,308
23,446,312
22,446,315
23,446,317
23,446,319
23,446,321
23,446,322
23,446,323
23,446,324
24,446,325
25,445,326
25,445,326
26,445,327
26,445,327
26,445,327
27,445,327
28,446,327
29,445,327
30,445,327
31,445,326
31,445,326
31,445,326
30,445,326
30,445,325
29,444,325
27,444,322
26,443,321
25,441,321
25,439,321
26,438,321
26,437,321
26,435,320
24,432,318
23,430,316
23,428,316
22,426,316
23,424,317
24,423,318
25,422,319
26,421,319
26,421,319
27,421,319
26,421,317
26,421,317
27,419,316
27,419,317
28,419,318
29,419,318
30,419,318
31,419,318
33,418,318
33,417,318
34,417,318
35,417,318
35,416,318
35,416,319
36,416,318
36,416,318
36,416,318
35,416,317
34,416,315
33,415,314
32,415,313
32,416,313
32,416,313
33,415,313
34,415,313
34,415,313
34,415,314
34,415,314
35,415,314
35,416,313
34,415,313
34,416,313
34,416,313
33,416,313
33,416,313
32,416,313
31,416,313
32,416,313
32,416,313
31,416,314
30,417,313
30,417,313
29,418,314
28,418,315
27,419,315
26,419,317
25,420,319
25,420,320
24,420,322
25,420,323
24,420,325
24,419,325
23,419,324
24,418,324
25,417,324
25,415,323
26,415,322
27,414,320
27,412,317
27,411,313
27,408,308
27,407,304
26,407,302
26,406,300
26,405,299
26,405,298
27,404,297
27,404,296
27,404,293
27,403,291
27,402,289
28,402,288
27,401,286
28,401,283
28,401,281
28,400,280
28,399,280
28,399,279
28,399,278
28,399,276
28,398,275
28,398,274
28,398,274
28,398,273
28,398,273
28,398,272
29,398,272
28,397,270
29,397,269
28,397,268
29,397,266
28,397,266
28,397,266
28,397,266
28,397,265
27,397,265
28,397,264
27,396,264
27,396,264
27,397,264
27,397,264
27,396,264
26,397,263
26,397,264
26,397,263
26,397,264
25,397,265
25,398,266
24,398,268
22,398,270
22,400,272
21,401,274
21,402,278
21,402,282
22,403,287
22,403,290
22,404,292
22,404,295
22,404,299
23,405,302
23,405,306
24,405,309
25,405,312
25,406,316
25,407,319
26,408,325
27,408,330
28,408,334
28,408,336
29,409,338
29,410,341
29,410,344
28,412,347
28,413,351
28,415,353
28,417,357
28,418,361
28,420,365
28,420,368
27,421,370
28,422,373
28,421,375
29,421,377
29,422,379
30,422,379
30,422,378
30,421,377
30,421,376
29,420,376
29,419,375
30,416,371
31,414,367
30,411,362
29,409,356
28,406,350
28,404,344
28,401,339
28,400,336
28,399,334
29,398,333
30,397,330
31,396,328
32,394,324
33,393,321
34,393,318
34,392,315
34,390,307
34,389,303
34,389,299
34,388,297
